Index,Forme erronée,Forme correcte,Lemme,Phrase ou syntagme,Type de l'erreur,Texte,Corpus
0,Qustion,Question,question,<err>Qustion</err> 1) les région qui on une sécurité alimentaire sont la région sud et nor de l'Afrique *nsi que le Nigeria le camerun le Gabon le Togo et le senegal,omission,texte1_2ndepro_raw.txt,corpus1
1,région,régions,région,Qustion 1) les <err>région</err> qui on une sécurité alimentaire sont la région sud et nor de l'Afrique *nsi que le Nigeria le camerun le Gabon le Togo et le senegal,accord,texte1_2ndepro_raw.txt,corpus1
2,on,ont,avoir,Qustion 1) les région qui <err>on</err> une sécurité alimentaire sont la région sud et nor de l'Afrique *nsi que le Nigeria le camerun le Gabon le Togo et le senegal,homophones,texte1_2ndepro_raw.txt,corpus1
3,nor,nord,nord,Qustion 1) les région qui on une sécurité alimentaire sont la région sud et <err>nor</err> de l'Afrique *nsi que le Nigeria le camerun le Gabon le Togo et le senegal,lettre muette,texte1_2ndepro_raw.txt,corpus1
4,*nsi,ainsi,ainsi,Qustion 1) les région qui on une sécurité alimentaire sont la région sud et nor de l'Afrique <err>*nsi</err> que le Nigeria le camerun le Gabon le Togo et le senegal,substitution,texte1_2ndepro_raw.txt,corpus1
5,camerun,Cameroun,,Qustion 1) les région qui on une sécurité alimentaire sont la région sud et nor de l'Afrique *nsi que le Nigeria le <err>camerun</err> le Gabon le Togo et le senegal,majuscule,texte1_2ndepro_raw.txt,corpus1
6,,,,,approximation,texte1_2ndepro_raw.txt,corpus1
7,senegal,Sénégal,,Qustion 1) les région qui on une sécurité alimentaire sont la région sud et nor de l'Afrique *nsi que le Nigeria le camerun le Gabon le Togo et le <err>senegal</err>,majuscule,texte1_2ndepro_raw.txt,corpus1
8,,,,,approximation,texte1_2ndepro_raw.txt,corpus1
9,,,,,approximation,texte1_2ndepro_raw.txt,corpus1
10,principal,principales,principal,Les <err>principal</err> cause de l'inscurtité alimentaire sont la shéseraise et la charté des produits alimentaire,accord,texte1_2ndepro_raw.txt,corpus1
11,,,,,accord,texte1_2ndepro_raw.txt,corpus1
12,cause,causes,cause,Les principal <err>cause</err> de l'inscurtité alimentaire sont la shéseraise et la charté des produits alimentaire,accord,texte1_2ndepro_raw.txt,corpus1
13,inscurtité,insécurité,insécurité,Les principal cause de l'<err>inscurtité</err> alimentaire sont la shéseraise et la charté des produits alimentaire,omission,texte1_2ndepro_raw.txt,corpus1
14,,,,,ajout,texte1_2ndepro_raw.txt,corpus1
15,shéseraise,sécheresse,sécheresse,Les principal cause de l'inscurtité alimentaire sont la <err>shéseraise</err> et la charté des produits alimentaire,approximation,texte1_2ndepro_raw.txt,corpus1
16,,,,,approximation,texte1_2ndepro_raw.txt,corpus1
17,,,,,phonétisation,texte1_2ndepro_raw.txt,corpus1
18,,,,,approximation,texte1_2ndepro_raw.txt,corpus1
19,charté,cherté,cherté,Les principal cause de l'inscurtité alimentaire sont la shéseraise et la <err>charté</err> des produits alimentaire,substitution,texte1_2ndepro_raw.txt,corpus1
20,alimentaire,alimentaires,alimentaire,Les principal cause de l'inscurtité alimentaire sont la shéseraise et la charté des produits <err>alimentaire</err>,accord,texte1_2ndepro_raw.txt,corpus1
21,Qustion,Question,question,"<err>Qustion</err> 2) le SIDA est une catastrophe en Afrique car le peuple africain est peu informer sur cet maladie et donc ne pue se défendre,",omission,texte1_2ndepro_raw.txt,corpus1
22,informer,informé,informé,"Qustion 2) le SIDA est une catastrophe en Afrique car le peuple africain est peu <err>informer</err> sur cet maladie et donc ne pue se défendre,",conjugaison,texte1_2ndepro_raw.txt,corpus1
23,cet,cette,ce,"Qustion 2) le SIDA est une catastrophe en Afrique car le peuple africain est peu informer sur <err>cet</err> maladie et donc ne pue se défendre,",accord,texte1_2ndepro_raw.txt,corpus1
24,pue,peut,pouvoir,"Qustion 2) le SIDA est une catastrophe en Afrique car le peuple africain est peu informer sur cet maladie et donc ne <err>pue</err> se défendre,",transposition,texte1_2ndepro_raw.txt,corpus1
25,,,,,homophones,texte1_2ndepro_raw.txt,corpus1
26,gan,gens,gens, aussi les <err>gan</err> n'utilise pas de préservatif car il en on pour insi dir pas a disposition,approximation,texte1_2ndepro_raw.txt,corpus1
27,,,,,accord,texte1_2ndepro_raw.txt,corpus1
28,utilise,utilisent,utiliser, aussi les gan n'<err>utilise</err> pas de préservatif car il en on pour insi dir pas a disposition,conjugaison,texte1_2ndepro_raw.txt,corpus1
29,il,ils,il, aussi les gan n'utilise pas de préservatif car <err>il</err> en on pour insi dir pas a disposition,accord,texte1_2ndepro_raw.txt,corpus1
30,,n',ne, aussi les gan n'utilise pas de préservatif car il en <err>[n']</err> on pour insi dir pas a disposition,omission mot,texte1_2ndepro_raw.txt,corpus1
31,on,ont,avoir, aussi les gan n'utilise pas de préservatif car il en <err>on</err> pour insi dir pas a disposition,homophones,texte1_2ndepro_raw.txt,corpus1
32,insi,ainsi,ainsi, aussi les gan n'utilise pas de préservatif car il en on pour <err>insi</err> dir pas a disposition,phonétisation,texte1_2ndepro_raw.txt,corpus1
33,dir,dire,dire, aussi les gan n'utilise pas de préservatif car il en on pour insi <err>dir</err> pas a disposition,lettre muette,texte1_2ndepro_raw.txt,corpus1
34,a,à,à, aussi les gan n'utilise pas de préservatif car il en on pour insi dir pas <err>a</err> disposition,homophones,texte1_2ndepro_raw.txt,corpus1
35,touché,touchés,touché, il y a aussi le fait que les gens <err>touché</err> par le sida en Afrique son pas pri en charge et meurt tré vite car il aucun médicament pour ne seraise que le retarder et calmer les douleur,accord,texte1_2ndepro_raw.txt,corpus1
